,R,Ht,J,Pt,C,Dt
BIOM1,0.672,2.442,0.889,0.362,0.633,0.149
BIOM2,0.694,2.469,0.904,0.369,0.31,0.148
BIOM3,0.658,2.427,0.881,0.27,0.382,0.124
BIOM4,0.7,2.476,0.907,0.388,0.311,0.157
BIOM5,0.839,2.585,0.995,0.578,0.646,0.284
BIOM6,0.905,2.603,0.997,0.765,0.828,0.47
BIOM7,0.539,2.503,0.988,0.451,0.624,0.247
PROD1,0.011,1.56,0.45,0.369,0.145,0.171
PROD2,0.012,1.619,0.478,0.394,0.193,0.177
PROD3,0.064,2.201,0.736,0.721,0.43,0.368
PROD4,0.066,1.97,0.593,0.52,0.221,0.237
PROD5,0,0.527,1,0.611,0.564,0.368
PROD6,0,1.758,0.994,0.608,0.676,0.277
PROD7,0,1.222,0.412,0.648,0.815,0.279
PROT1,0,0.527,1,0.009,0.924,0.0645
PROT2,0.002,1.776,0.815,-0.026,0.922,0.0356
PROT3,0,0.527,1,0.108,0.649,0.092
PROT4,0.001,1.546,0.665,0.398,0.761,0.171
PROT5,0,1.201,0.523,-0.031,0.633,0.0954
PROT6,0.001,1.482,0.675,0.103,0.262,0.0982
